Имя,Тип,Артикул,Опубликован,Видимость в каталоге,Наличие,Значения атрибутов 23,Категории,Название атрибута 1,Значения атрибутов 1,Название атрибута 2,Значения атрибутов 2,Название атрибута 3,Значения атрибутов 3,Название атрибута 4,Значения атрибутов 4,Название атрибута 5,Значения атрибутов 5,Название атрибута 6,Значения атрибутов 6,Название атрибута 7,Значения атрибутов 7,Название атрибута 9,Значения атрибутов 9,Название атрибута 10,Значения атрибутов 10,Название атрибута 11,Значения атрибутов 11,Название атрибута 12,Значения атрибутов 12,Название атрибута 13,Значения атрибутов 13,Название атрибута 14,Значения атрибутов 14,Название атрибута 15,Значения атрибутов 15,Название атрибута 16,Значения атрибутов 16,Название атрибута 17,Значения атрибутов 17,Название атрибута 18,Значения атрибутов 18,Название атрибута 19,Значения атрибутов 19,Название атрибута 20,Значения атрибутов 20,Название атрибута 21,Значения атрибутов 21,Название атрибута 22,Значения атрибутов 22,Название атрибута 23,Название атрибута 24,Значения атрибутов 24,Название атрибута 25,Значения атрибутов 25,Название атрибута 26,Значения атрибутов 26
LGMG AR20J,simple,48,1,visible,1,Дизельный,"Mics, Коленчатые подъемники, Дизельные подъемники, Самоходные подъемники",аккумуляторы,,бренд,LGMG,вес,9850 кг,вид-подъёмника,Коленчатый,внешний-радиус,3.9 м,внутр-радиус,1.9 м,вращение,360°,вылет-стрелы,12.37 м,высота,2.46 м,высота-плат,"19,58 м",высота-подъема,"21,58 м",гидравл-бак,100 л,грузоподъем,260 кг,двигатель,"Kubota V2403 26 кВт/48,2 л.с.",длина,"9,42 м",дор-просвет,0.40 м,колесная-база,"2,51 м",преод-подъем,45%,размер-платф,2.44 х 0.90 м,скорость,5 км/ч,страна,Китай,тип-двигателя,топливный-бак,нет,шины,"RT foam-filled, 355/55D625",ширина,"2,5 м"
LGMG SR1023D,simple,50,1,visible,1,Дизельный,"Mics, Ножничные подъемники, Дизельные подъемники, Самоходные подъемники",аккумуляторы,,бренд,LGMG,вес,6880 кг,вид-подъёмника,Ножничный,внешний-радиус,5.33 м,внутр-радиус,нет,вращение,нет,вылет-стрелы,нет,высота,2.74 м (перила сложены 2.06 м),высота-плат,10 м,высота-подъема,12 м,гидравл-бак,140 л,грузоподъем,1100 кг,двигатель,"Deutz D2,9 L4 36,4кВт/48,8л,с,",длина,"4,9 м",дор-просвет,0.23 м,колесная-база,2.85 м,преод-подъем,40%,размер-платф,3.98/4.81 х 1.83 м,скорость,нет,страна,Китай,тип-двигателя,топливный-бак,110 л,шины,"Solid, 835 х 290 мм",ширина,"2,3 м"
LGMG SR1623D,simple,51,1,visible,1,Дизельный,"Mics, Ножничные подъемники, Дизельные подъемники, Самоходные подъемники",аккумуляторы,,бренд,LGMG,вес,8100 кг,вид-подъёмника,Ножничный,внешний-радиус,5.33 м,внутр-радиус,нет,вращение,нет,вылет-стрелы,нет,высота,3.18 м (перила сложены 2.50 м),высота-плат,"15,9 м",высота-подъема,"17,9 м",гидравл-бак,140 л,грузоподъем,680 кг,двигатель,"Deutz D2,9 L4 36,4кВт",длина,"4,9 м",дор-просвет,0.23 м,колесная-база,2.85 м,преод-подъем,40%,размер-платф,3.98/4.81 х 1.83 м,скорость,нет,страна,Китай,тип-двигателя,топливный-бак,110 л,шины,"Solid, 835 х 290 мм",ширина,"2,3 м"
"ACMG AC1212LI (ребренд XCMG XG1412AC-LI) ВАЖНО!!!! ВЕРНОЕ НАЗВАНИЕ В СКОБОЧКАХ, НО КАНКУРЕНТЫ ПИШУТ ПОЧЕМУ-ТО ПЕРВОЕ",simple,1,1,visible,1,Электрический,"Mics, Ножничные подъемники, Электрические подъемники, Самоходные подъемники",аккумуляторы,"Li-ion 25,6 В 230 А·ч",бренд,ACMG,вес,2950 кг,вид-подъёмника,Ножничный,внешний-радиус,2.3 м,внутр-радиус,0 м,вращение,нет,вылет-стрелы,нет,высота,2.61 м (перила сложены 2.06 м),высота-плат,"11,9 м",высота-подъема,"13,9 м",гидравл-бак,нет,грузоподъем,320 кг,двигатель,"Li-ion 25,6 В 230 А·ч",длина,"2,4 м",дор-просвет,10 см,колесная-база,1.87 м,преод-подъем,25%,размер-платф,2.28 х 1.12 м,скорость,0.8-4.0 км/ч,страна,Китай,тип-двигателя,топливный-бак,нет,шины,"381 х 127 мм, Solid, не оставляющие следов",ширина,"1,15 м"
Aurora AS0808 -> LGMG S0808Е-2/AS0808Е ,simple,2,1,visible,1,Электрический,"Mics, Ножничные подъемники, Электрические подъемники, Самоходные подъемники",аккумуляторы,4×6 V/240 Ah,бренд,Aurora,вес,2035 кг,вид-подъёмника,Ножничный,внешний-радиус,2.2 м,внутр-радиус,нет,вращение,нет,вылет-стрелы,нет,высота,2.32 м (перила сложены 1.95 м),высота-плат,"8,1 м",высота-подъема,"10,1 м",гидравл-бак,11 л,грузоподъем,230 кг,двигатель,24V 130Ah,длина,"2,45 м",дор-просвет,10 см,колесная-база,1.86 м,преод-подъем,25%,размер-платф,2.26 х 0.83 м,скорость,нет,страна,Китай,тип-двигателя,топливный-бак,нет,шины,цельномонолитные/не оставляюзие следов 380 х 130 мм,ширина,"0,82 м"
Aurora AS0812LI -> LGMG AS0812Е (AS2646Е),simple,3,1,visible,1,Электрический,"Mics, Ножничные подъемники, Электрические подъемники, Самоходные подъемники",аккумуляторы,100-240 V AC,бренд,Aurora,вес,2460 кг,вид-подъёмника,Ножничный,внешний-радиус,2.3 м,внутр-радиус,0 м,вращение,нет,вылет-стрелы,нет,высота,2.30 м (перила сложены 1.73 м),высота-плат,8 м,высота-подъема,10 м,гидравл-бак,16 л,грузоподъем,450 кг,двигатель,24V DC 240Ah li-on,длина,2.4 м,дор-просвет,10 см,колесная-база,1.85 м,преод-подъем,25%,размер-платф,2.26 х 1.12 м,скорость,0.8-4.0 км/ч,страна,Китай,тип-двигателя,топливный-бак,нет,шины,цельномонолитные/не оставляюзие следов 380 х 130 мм,ширина,"1,15 м"
Aurora AS1012 -> LGMG AS1012Е (AS3246Е),simple,4,1,visible,1,Электрический,"Mics, Ножничные подъемники, Электрические подъемники, Самоходные подъемники",аккумуляторы,4×12 V/150 Ah,бренд,Aurora,вес,2820 кг,вид-подъёмника,Ножничный,внешний-радиус,2.3 м,внутр-радиус,0 м,вращение,нет,вылет-стрелы,нет,высота,2.43 м (перила сложены 1.86 м),высота-плат,10 м,высота-подъема,12 м,гидравл-бак,23 л,грузоподъем,320 кг,двигатель,24V DC 240Ah,длина,"2,4 м",дор-просвет,10 см,колесная-база,1.85 м,преод-подъем,25%,размер-платф,2.26 х 1.12 м,скорость,0.8-4.0 км/ч,страна,Китай,тип-двигателя,топливный-бак,нет,шины,цельномонолитные/не оставляюзие следов 380 х 130 мм,ширина,"1,15 м"
Aurora AS1412 -> LGMG AS1413Е (AS4650Е),simple,5,1,visible,1,Электрический,"Mics, Ножничные подъемники, Электрические подъемники, Самоходные подъемники",аккумуляторы,4×12 V/150 Ah,бренд,Aurora,вес,3600 кг,вид-подъёмника,Ножничный,внешний-радиус,2.85 м,внутр-радиус,0 м,вращение,нет,вылет-стрелы,нет,высота,2.74 м (перила сложены 1.94 м),высота-плат,"13,8 м",высота-подъема,"15,8 м",гидравл-бак,24.5 л,грузоподъем,320 кг,двигатель,24 V 220Ah,длина,"2,72 м",дор-просвет,10.5 см,колесная-база,2.22 м,преод-подъем,25%,размер-платф,2.64 х 1.12 м,скорость,,страна,Китай,тип-двигателя,топливный-бак,нет,шины,цельномонолитные/не оставлящие следов 380 х 130 мм,ширина,"1,4 м"
Dingli BA18CRT2,simple,6,1,visible,1,Дизельный,"Mics, Коленчатые подъемники, Дизельные подъемники, Самоходные подъемники",аккумуляторы,,бренд,Dingli,вес,8200 кг,вид-подъёмника,Коленчатый,внешний-радиус,4.73 м,внутр-радиус,3 м,вращение,"360° непрерывно, люлька 180",вылет-стрелы,9.45 м,высота,2.59 м,высота-плат,"16,11 м",высота-подъема,"18,11 м",гидравл-бак,145 л,грузоподъем,320 кг,двигатель,Kubota D1105/18.2 кВт,длина,"5,47 м",дор-просвет,0.31 м,колесная-база,2.40 м,преод-подъем,40%,размер-платф,1.83 х 0.79 м ,скорость,1.1-6.0 км/ч,страна,Китай,тип-двигателя,топливный-бак,115 л,шины,315/55 D20,ширина,"2,44 м"
Dingli BA18NE,simple,7,1,visible,1,Электрический,"Mics, Коленчатые подъемники, Электрические подъемники, Самоходные подъемники",аккумуляторы,48В/300Ач,бренд,Dingli,вес,7420 кг,вид-подъёмника,Коленчатый,внешний-радиус,3.3 м,внутр-радиус,2.08 м,вращение,"360°, непрерывное-нет",вылет-стрелы,8.3 м,высота,2 м,высота-плат,16 м,высота-подъема,18 м,гидравл-бак,30 л,грузоподъем,230 кг,двигатель,АКБ 48 V/ 300 Ah ,длина,"7,21 м",дор-просвет,0.2 м,колесная-база,2 м,преод-подъем,25%,размер-платф,1.45 х 0.76 м ,скорость,6.1 км/ч,страна,Китай,тип-двигателя,топливный-бак,нет,шины,17.5 х 6.75 пенонаполненные,ширина,"1,73 м"
Dingli BA20CRT2,simple,8,1,visible,1,Дизельный,"Mics, Коленчатые подъемники, Дизельные подъемники, Самоходные подъемники",аккумуляторы,,бренд,Dingli,вес,8450 кг,вид-подъёмника,Коленчатый,внешний-радиус,4. 73 м,внутр-радиус,3 м,вращение,"360°, непрерывно",вылет-стрелы,11.13 м,высота,2.59 м,высота-плат,"18,15 м",высота-подъема,"20,15 м",гидравл-бак,145 л,грузоподъем,320 кг,двигатель,Kubota18.2кВт или Perkins 18.4кВт,длина,"6,41 м",дор-просвет,0.31 м,колесная-база,2.40 м,преод-подъем,40%,размер-платф,1.83 х 0.79 м ,скорость,6 км/ч,страна,Китай,тип-двигателя,топливный-бак,115 л,шины,315/55 D20,ширина,"2,44 м"
Dingli BA22ERT,simple,9,1,visible,1,Электрический,"Mics, Коленчатые подъемники, Электрические подъемники, Самоходные подъемники",аккумуляторы,24x2В/375Ач,бренд,Dingli,вес,10150 кг,вид-подъёмника,Коленчатый,внешний-радиус,3.92 м,внутр-радиус,2.15 м,вращение,"360°, непрерывно",вылет-стрелы,13.62 м,высота,2.43 м,высота-плат,"20,21 м",высота-подъема,"22,21 м",гидравл-бак,145 л,грузоподъем,230 кг,двигатель,48V 3.8 kw,длина,"9,55 м",дор-просвет,0.31 м,колесная-база,2.40 м,преод-подъем,45%,размер-платф,1.83 х 0.79 м ,скорость,6 км/ч,страна,Китай,тип-двигателя,топливный-бак,нет,шины,315/55 D21,ширина,"2,44 м"
Dingli BA28RT,simple,10,1,visible,1,Дизельный,"Mics, Коленчатые подъемники, Дизельные подъемники, Самоходные подъемники",аккумуляторы,,бренд,Dingli,вес,18400 кг,вид-подъёмника,Коленчатый,внешний-радиус,3.22 м,внутр-радиус,1.87 м,вращение,"360°, непрерывно",вылет-стрелы,19.4 м,высота,2.89 м,высота-плат,"26,1 м",высота-подъема,"28,1 м",гидравл-бак,165 л,грузоподъем,250 кг,двигатель,"Deutz TD2.9 L4 / 55,4 кВт",длина,12 м,дор-просвет,0.41 м,колесная-база,2.8 м,преод-подъем,45%,размер-платф,2.44 х 0.91 м,скорость, 6 км/ч,страна,Китай,тип-двигателя,топливный-бак,135 л,шины,385/45-28,ширина,"2,5 м"
Dingli BT26RT,simple,11,1,visible,1,Дизельный,"Mics, Телескопические подъемники, Дизельные подъемники, Самоходные подъемники",аккумуляторы,,бренд,Dingli,вес,16090 кг,вид-подъёмника,Телескопический,внешний-радиус,3.22 м,внутр-радиус,1.87 м,вращение,"360°, непрерывно",вылет-стрелы,19.5 м,высота,2.87 м,высота-плат,"24,3 м",высота-подъема,"26,3 м",гидравл-бак,165 л,грузоподъем,450 кг,двигатель,"Deutz D2.9 L4/55,4 кВт",длина,"10,82 м",дор-просвет,0.41 м,колесная-база,2.8 м,преод-подъем,45%,размер-платф,2.44 х 0.91 м,скорость, 6 км/ч,страна,Китай,тип-двигателя,топливный-бак,135 л,шины,385/45-28,ширина,"2,5 м"
Dingli BT28RT,simple,12,1,visible,1,Дизельный,"Mics, Телескопические подъемники, Дизельные подъемники, Самоходные подъемники",аккумуляторы,,бренд,Dingli,вес,18400 кг,вид-подъёмника,Телескопический,внешний-радиус,3.22 м,внутр-радиус,1.87 м,вращение,"360°, непрерывно",вылет-стрелы,21.9 м,высота,2.87 м,высота-плат,"26,6 м",высота-подъема,"28,6 м",гидравл-бак,165 л,грузоподъем,454 кг,двигатель,"Deutz ТD2.9 L4/55,4 кВт",длина,"11,66 м",дор-просвет,0.41 м,колесная-база,2.8 м,преод-подъем,45%,размер-платф,2.44 х 0.91 м,скорость, 6 км/ч,страна,Китай,тип-двигателя,топливный-бак,135 л,шины,385/45-29,ширина,"2,5 м"
Dingli JCPT1418RT,simple,13,1,visible,1,Дизельный,"Mics, Ножничные подъемники, Дизельные подъемники, Самоходные подъемники",аккумуляторы,,бренд,Dingli,вес,5050 кг,вид-подъёмника,Ножничный,внешний-радиус,4.85 м,внутр-радиус,2.15 м,вращение,нет,вылет-стрелы,нет,высота,1.97 м,высота-плат,"12,3 м",высота-подъема,"14,3 м",гидравл-бак,71 л,грузоподъем,363 кг,двигатель,"Kubota D1105 18,2 кВт",длина,"3,84 м",дор-просвет,0.24 м,колесная-база,2.29 м,преод-подъем,40%,размер-платф,2.88 х 1.52 м,скорость, 5 км/ч,страна,Китай,тип-двигателя,топливный-бак,47 л,шины,26 х 12-16.5,ширина,"1,76 м"
Dingli JCPT1612HA,simple,14,1,visible,1,Электрический,"Mics, Ножничные подъемники, Электрические подъемники, Самоходные подъемники",аккумуляторы,4x12В/240Ач,бренд,Dingli,вес,3240 кг,вид-подъёмника,Ножничный,внешний-радиус,2.65 м,внутр-радиус,0 м,вращение,нет,вылет-стрелы,нет,высота,2.09 м,высота-плат,"13,7 м",высота-подъема,"15,7 м",гидравл-бак,20 л,грузоподъем,250 кг,двигатель,24V / 4.5kW,длина,"2,84 м",дор-просвет,10 см,колесная-база,2.24 м,преод-подъем,25%,размер-платф,2.64 х 1.12 м,скорость,3.5 км/ч,страна,Китай,тип-двигателя,топливный-бак,нет,шины,381 х 127 мм не оставлящие следов,ширина,"1,25 м"
Haulotte HA 20 PX,simple,34,1,visible,1,Дизельный,"Mics, Коленчатые подъемники, Дизельные подъемники, Самоходные подъемники",аккумуляторы,,бренд,Haulotte,вес,11710 кг,вид-подъёмника,Коленчатый,внешний-радиус,3.9 м,внутр-радиус,нет,вращение,360°,вылет-стрелы,13.5 м,высота,2.67 м,высота-плат,"18,65 м",высота-подъема,"20,65 м",гидравл-бак,150 л,грузоподъем,230 кг,двигатель,"Diesel Deutz 57,1 hp - 42kW",длина,"8,93 м",дор-просвет,0.42 м,колесная-база,2.8 м,преод-подъем,40%,размер-платф,1.8 х 0.8 м,скорость,0.5 - 4.5 км/ч,страна,Франция,тип-двигателя,топливный-бак,150 л,шины,385/65-22.5,ширина,"2,38 м"
Haulotte HA 20 RTJ,simple,35,1,visible,1,Дизельный,"Mics, Коленчатые подъемники, Дизельные подъемники, Самоходные подъемники",аккумуляторы,,бренд,Haulotte,вес,9300 кг,вид-подъёмника,Коленчатый,внешний-радиус,4.5 м,внутр-радиус,нет,вращение,355°,вылет-стрелы,12.2 м,высота,2.51 м,высота-плат,"18,6 м",высота-подъема,"20,6 м",гидравл-бак,150 л,грузоподъем,230 кг,двигатель,"Kubota 49,6 hp - 36.5kW",длина,"8,8 м",дор-просвет,0.38 м,колесная-база,2.45 м,преод-подъем,45%,размер-платф,1.83 х 0.8 м ,скорость,0.5 - 5.5 км/ч,страна,Франция,тип-двигателя,топливный-бак,150 л,шины,910 х 355 мм,ширина,"2,42 м"
JLG 4394RT,simple,41,1,visible,1,Дизельный,"Mics, Ножничные подъемники, Дизельные подъемники, Самоходные подъемники",аккумуляторы,,бренд,JLG,вес,7100 кг,вид-подъёмника,Ножничный,внешний-радиус,5.93 м,внутр-радиус,2.71 м,вращение,нет,вылет-стрелы,нет,высота,2.89 м,высота-плат,"11,11м",высота-подъема,"13,11м",гидравл-бак,121.42 л,грузоподъем,680 кг,двигатель,"Kubota 24,8 л.с.",длина,"3,86 м",дор-просвет,0.3 м,колесная-база,2.95 м,преод-подъем,45%,размер-платф,2.18 х 3.81 м,скорость,6.4 км/ч,страна,США,тип-двигателя,топливный-бак,113.56 л,шины,"внедорожные, пенонаполненные",ширина,"2,39 м"
JLG 800S,simple,43,1,visible,1,Дизельный,"Mics, Телескопические подъемники, Дизельные подъемники, Самоходные подъемники",аккумуляторы,,бренд,JLG,вес,15800 кг,вид-подъёмника,Телескопический,внешний-радиус,6.02 м,внутр-радиус,3.8 м,вращение,"360°, непрерывно",вылет-стрелы,21.64 м,высота,2.95 м,высота-плат,"24,38 м",высота-подъема,"26,38 м",гидравл-бак,181.7 л,грузоподъем,230 кг,двигатель,Deutz D2011 L04 w/EGR 46 kW 61.6 hp,длина,"11,35 м",дор-просвет,0.28 м,колесная-база,3.05 м,преод-подъем,45%,размер-платф,0.91 х 2.44 м,скорость,5.6 км/ч,страна,США,тип-двигателя,топливный-бак,117.35 л,шины,пенонаполненные 15-625,ширина,"2,49 м"
Manitou 120 AETJ-C,simple,53,1,visible,1,Электрический,"Mics, Коленчатые подъемники, Электрические подъемники, Самоходные подъемники",аккумуляторы,,бренд,Manitou,вес,6600 кг,вид-подъёмника,Коленчатый,внешний-радиус,3.34 м,внутр-радиус,1.55 м,вращение,355°,вылет-стрелы,7/7.1 м,высота,2.16 м,высота-плат,"9,95 м",высота-подъема,"11,95 м",гидравл-бак,18 л,грузоподъем,200 кг,двигатель,48 V/240 Ah,длина,"3,74 м",дор-просвет,10 см,колесная-база,1.65 м,преод-подъем,25%,размер-платф,1.20 х 0.92 м,скорость,0.6-6.0 км/ч,страна,Франция,тип-двигателя,топливный-бак,нет,шины,"цельнолитые, не оставлящие следов",ширина,"1,2 м"
MANITOU 180 ATJ,simple,54,1,visible,1,Дизельный,"Mics, Коленчатые подъемники, Дизельные подъемники, Самоходные подъемники",аккумуляторы,,бренд,Manitou,вес,7430 кг,вид-подъёмника,Коленчатый,внешний-радиус,3.75 м,внутр-радиус,1.38 м,вращение,350°,вылет-стрелы,10.51/10.6 м,высота,2.56 м,высота-плат,"16,18 м",высота-подъема,"18,18 м",гидравл-бак,54 л,грузоподъем,230 кг,двигатель,Дизельный PERKINS 404 C 22,длина,"5,56 м",дор-просвет,40 см,колесная-база,2.2 м,преод-подъем,45%,размер-платф,1.8 х 0.8 м,скорость,1.0-5.0 км/ч,страна,Франция,тип-двигателя,топливный-бак,52 л,шины,пенонаполненные ,ширина,"2,32 м"
Sunward SWA16J,simple,55,1,visible,1,Дизельный,"Mics, Коленчатые подъемники, Дизельные подъемники, Самоходные подъемники",аккумуляторы,,бренд,Sunward,вес,7500 кг,вид-подъёмника,Коленчатый,внешний-радиус,4.98 м,внутр-радиус,2.09 м,вращение,"360° непрерывно, люлька 160°",вылет-стрелы,8.02 м,высота,2.17 м,высота-плат,14 м,высота-подъема,16 м,гидравл-бак,82 л,грузоподъем,250 кг,двигатель,Kubota v2403,длина,"6,93 м",дор-просвет,35 см,колесная-база,2.25 м,преод-подъем,45%,размер-платф,1.83 х 0.76 м,скорость,0.8-6.8 км/ч,страна,Китай,тип-двигателя,топливный-бак,73 л,шины,"33х12-20, пенонаполненные, вездеходные",ширина,"2,3 м"
Sunward SWA22JE,simple,56,1,visible,1,Электрический,"Mics, Коленчатые подъемники, Электрические подъемники, Самоходные подъемники",аккумуляторы,48В/390Ач,бренд,Sunward,вес,9800 кг,вид-подъёмника,Коленчатый,внешний-радиус,5.6 м,внутр-радиус,2.5 м,вращение,"360° непрерывно, люлька 160°",вылет-стрелы,12.1 м,высота,2.58 м ,высота-плат,"19,6 м",высота-подъема,"21,6 м",гидравл-бак,84 л,грузоподъем,250 кг,двигатель,"48 В АC, 390 А*ч ",длина,"8,92 м",дор-просвет,35 см,колесная-база,2.49 м,преод-подъем,45%,размер-платф,2.40 х 0.91 м,скорость,1.1-6.1 км/ч,страна,Китай,тип-двигателя,топливный-бак,нет,шины,355/55 D625 ,ширина,"2,49 м"
Sunward SWSL 1614 hd,simple,57,1,visible,1,Электрический,"Mics, Ножничные подъемники, Электрические подъемники, Самоходные подъемники",аккумуляторы,4×12В/300 А.ч.,бренд,Sunward,вес,3500 кг,вид-подъёмника,Ножничный,внешний-радиус,2.5 м,внутр-радиус,,вращение,,вылет-стрелы,,высота,,высота-плат,"13,8 м",высота-подъема,"15,8 м",гидравл-бак,,грузоподъем,260 кг,двигатель,,длина,"2,84 м",дор-просвет,,колесная-база,,преод-подъем,,размер-платф,,скорость,,страна,Китай,тип-двигателя,топливный-бак,,шины,,ширина,"1,41 м"
Sunward SWSL0807HD,simple,58,1,visible,1,Электрический,"Mics, Ножничные подъемники, Электрические подъемники, Самоходные подъемники",аккумуляторы,4X6V/210Ah,бренд,Sunward,вес,1530 кг,вид-подъёмника,Ножничный,внешний-радиус,1.67 м,внутр-радиус,,вращение,,вылет-стрелы,,высота,,высота-плат,6 м,высота-подъема,8 м,гидравл-бак,,грузоподъем,230 кг,двигатель,,длина,"1,86 м",дор-просвет,,колесная-база,,преод-подъем,,размер-платф,,скорость,,страна,Китай,тип-двигателя,топливный-бак,,шины,,ширина,"0,76 м"
Sunward SWSL1008,simple,59,1,visible,1,Электрический,"Mics, Ножничные подъемники, Электрические подъемники, Самоходные подъемники",аккумуляторы,4X6V/225Ah,бренд,Sunward,вес,2080 кг,вид-подъёмника,Ножничный,внешний-радиус,2.1 м,внутр-радиус,0 м,вращение,нет,вылет-стрелы,нет,высота,,высота-плат,8 м,высота-подъема,10 м,гидравл-бак,,грузоподъем,230 кг,двигатель,,длина,"2,46 м",дор-просвет,,колесная-база,,преод-подъем,,размер-платф,,скорость,,страна,Китай,тип-двигателя,топливный-бак,,шины,,ширина,"0,83 м"
Sunward SWSL1212HD,simple,60,1,visible,1,Электрический,"Mics, Ножничные подъемники, Электрические подъемники, Самоходные подъемники",аккумуляторы,4X6V/240Ah,бренд,Sunward,вес,2940 кг,вид-подъёмника,Ножничный,внешний-радиус,2.2 м,внутр-радиус,,вращение,,вылет-стрелы,,высота,,высота-плат,10 м,высота-подъема,12 м,гидравл-бак,,грузоподъем,320 кг,двигатель,,длина,"2,47 м",дор-просвет,,колесная-база,,преод-подъем,,размер-платф,,скорость,,страна,Китай,тип-двигателя,топливный-бак,,шины,,ширина,"1,17 м"
Sunward SWSL1412HD,simple,61,1,visible,1,Электрический,"Mics, Ножничные подъемники, Электрические подъемники, Самоходные подъемники",аккумуляторы,4X12V/300Ah,бренд,Sunward,вес,2980 кг,вид-подъёмника,Ножничный,внешний-радиус,2.2 м,внутр-радиус,,вращение,,вылет-стрелы,,высота,,высота-плат,12 м,высота-подъема,14 м,гидравл-бак,,грузоподъем,320 кг,двигатель,,длина,"2,47 м",дор-просвет,,колесная-база,,преод-подъем,,размер-платф,,скорость,,страна,Китай,тип-двигателя,топливный-бак,,шины,,ширина,"1,17 м"
Sunward SWSL1823RT,simple,62,1,visible,1,Дизельный,"Mics, Ножничные подъемники, Дизельные подъемники, Самоходные подъемники",аккумуляторы,,бренд,Sunward,вес,8200 кг,вид-подъёмника,Ножничный,внешний-радиус,5.8 м,внутр-радиус,2.75 м,вращение,нет,вылет-стрелы,,высота,,высота-плат,16 м,высота-подъема,18 м,гидравл-бак,,грузоподъем,680 кг,двигатель,,длина,"4,9 м",дор-просвет,,колесная-база,,преод-подъем,,размер-платф,,скорость,,страна,Китай,тип-двигателя,топливный-бак,105 л,шины,,ширина,"2,3 м"
Upright AB38,simple,63,1,visible,1,Электрический,"Mics, Ножничные подъемники, Электрические подъемники, Самоходные подъемники",аккумуляторы,,бренд,Upright,вес,8200 кг,вид-подъёмника,Ножничный,внешний-радиус,2.4 м,внутр-радиус,0.4 м,вращение,362°,вылет-стрелы,6.1 м,высота,2 м,высота-плат,"11,5 м",высота-подъема,"13,5 м",гидравл-бак,25 л,грузоподъем,215 кг,двигатель,"8 х 6 В, 220 A*ч DC",длина,4 м,дор-просвет,15 см,колесная-база,1.99 м,преод-подъем,36%,размер-платф,0.60 х 1.20 м,скорость,0.7-4.0 км/ч,страна,Великобритания,тип-двигателя,топливный-бак,нет,шины,не оставлящие следов,ширина,"1,5 м"
Zoomlion ZA14J,simple,64,1,visible,1,Дизельный,"Mics, Коленчатые подъемники, Дизельные подъемники, Самоходные подъемники",аккумуляторы,"8 x 6 В, 220 А.ч.",бренд,Zoomlion,вес,3800 кг,вид-подъёмника,Коленчатый,внешний-радиус,4.26 м,внутр-радиус,1.92 м,вращение,"360°, непрерывно",вылет-стрелы,7.58 м,высота,2.39 м,высота-плат,"13,8 м",высота-подъема,"15,8 м",гидравл-бак,75 л,грузоподъем,300 кг,двигатель,"Kubota v2403, 36.5 кВт",длина,"6,57 м",дор-просвет,40 см,колесная-база,2.06 м,преод-подъем,45%,размер-платф,1.83 х 0.76 м,скорость,6.1 км/ч,страна,Китай,тип-двигателя,топливный-бак,65 л,шины,"315/55 D20, пенонаполненные",ширина,"2,3 м"
Zoomlion ZA14JE,simple,65,1,visible,1,Электрический,"Mics, Коленчатые подъемники, Электрические подъемники, Самоходные подъемники",аккумуляторы,,бренд,Zoomlion,вес,7100 кг,вид-подъёмника,Коленчатый,внешний-радиус,3.15 м,внутр-радиус,0.79 м,вращение,360°,вылет-стрелы,7.5 м,высота,2 м ,высота-плат,14 м,высота-подъема,16 м,гидравл-бак,30 л,грузоподъем,230 кг,двигатель,"48 В DC, АКБ 320 А*ч ",длина,"6,6 м",дор-просвет,20 см,колесная-база,2.05 м,преод-подъем,30%,размер-платф,1.52 х 0.76 м,скорость,6.1 км/ч,страна,Китай,тип-двигателя,топливный-бак,нет,шины,"240/55-17.5 пенонаполненные, 250/15 цельнолитые",ширина,"1,75 м"
Zoomlion ZS1414HD,simple,66,1,visible,1,Электрический,"Mics, Коленчатые подъемники, Электрические подъемники, Самоходные подъемники",аккумуляторы,24×2V/320Ah,бренд,Zoomlion,вес,6800 кг,вид-подъёмника,Коленчатый,внешний-радиус,2.6 м,внутр-радиус,0.1 м,вращение,нет,вылет-стрелы,нет,высота,2 м,высота-плат,"13,7 м",высота-подъема,"15,7 м",гидравл-бак,,грузоподъем,260 кг,двигатель,"24 В, подъемный/приводной мотор 4.5 кВт; АКБ 4х6 В/190 А*ч",длина,"2,87 м",дор-просвет,11 см,колесная-база,2.22 м,преод-подъем,25%,размер-платф,2.67 х 1.12 м,скорость,3.5 км/ч,страна,Китай,тип-двигателя,топливный-бак,нет,шины,381 х 127 мм не оставлящие следов,ширина,"1,4 м"
Zoomlion ZS1623RT,simple,67,1,visible,1,Дизельный,"Mics, Коленчатые подъемники, Дизельные подъемники, Самоходные подъемники",аккумуляторы,,бренд,Zoomlion,вес,3280 кг,вид-подъёмника,Ножничный,внешний-радиус,5.8 м,внутр-радиус,2.75 м,вращение,нет,вылет-стрелы,нет,высота,2.47 м,высота-плат,16 м,высота-подъема,18 м,гидравл-бак,100 л,грузоподъем,680 кг,двигатель,Kubota v2403-M-DI 36 кВт / 2600 об./мин.,длина,"4,88 м",дор-просвет,27.5 см,колесная-база,2.9 м,преод-подъем,40%,размер-платф,3.98 х 1.83 м,скорость,0.5-6.5 км/ч,страна,Китай,тип-двигателя,топливный-бак,105 л,шины,33х12-20/8 цельнолитые/пенонаполненные,ширина,"2,33 м"
