Имя,Тип,Артикул,Опубликован,Видимость в каталоге,Наличие,Категории,Название атрибута 4,Значения атрибутов 4,Видимость атрибута 4,Глобальный атрибут 4,Название атрибута 12,Значения атрибутов 12,Видимость атрибута 12,Глобальный атрибут 12,Название атрибута 23,Значения атрибутов 23,Видимость атрибута 23,Глобальный атрибут 23,Название атрибута 3,Значения атрибутов 3,Видимость атрибута 3,Глобальный атрибут 3,Название атрибута 1,Значения атрибутов 1,Видимость атрибута 1,Глобальный атрибут 1,Название атрибута 2,Значения атрибутов 2,Видимость атрибута 2,Глобальный атрибут 2,Название атрибута 5,Значения атрибутов 5,Видимость атрибута 5,Глобальный атрибут 5,Название атрибута 6,Значения атрибутов 6,Видимость атрибута 6,Глобальный атрибут 6,Название атрибута 7,Значения атрибутов 7,Видимость атрибута 7,Глобальный атрибут 7,Название атрибута 9,Значения атрибутов 9,Видимость атрибута 9,Глобальный атрибут 9,Название атрибута 10,Значения атрибутов 10,Видимость атрибута 10,Глобальный атрибут 10,Название атрибута 11,Значения атрибутов 11,Видимость атрибута 11,Глобальный атрибут 11,Название атрибута 13,Значения атрибутов 13,Видимость атрибута 13,Глобальный атрибут 13,Название атрибута 14,Значения атрибутов 14,Видимость атрибута 14,Глобальный атрибут 14,Название атрибута 15,Значения атрибутов 15,Видимость атрибута 15,Глобальный атрибут 15,Название атрибута 16,Значения атрибутов 16,Видимость атрибута 16,Глобальный атрибут 16,Название атрибута 17,Значения атрибутов 17,Видимость атрибута 17,Глобальный атрибут 17,Название атрибута 18,Значения атрибутов 18,Видимость атрибута 18,Глобальный атрибут 18,Название атрибута 19,Значения атрибутов 19,Видимость атрибута 19,Глобальный атрибут 19,Название атрибута 20,Значения атрибутов 20,Видимость атрибута 20,Глобальный атрибут 20,Название атрибута 21,Значения атрибутов 21,Видимость атрибута 21,Глобальный атрибут 21,Название атрибута 22,Значения атрибутов 22,Видимость атрибута 22,Глобальный атрибут 22,Название атрибута 24,Значения атрибутов 24,Видимость атрибута 24,Глобальный атрибут 24,Название атрибута 25,Значения атрибутов 25,Видимость атрибута 25,Глобальный атрибут 25,Название атрибута 26,Значения атрибутов 26,Видимость атрибута 26,Глобальный атрибут 26
Haulotte Compact 12 DX NEW,simple,25,1,visible,1,"Misc, Ножничные, Дизельные, Самоходные",Вид подъемника,Ножничный,1,1,Рабочая высота,"11,98 м",1,1,Тип двигателя,Дизельный,1,1,Вес,4110 кг,1,1,Аккумуляторы,,1,1,Бренд,Haulotte,1,1,Внешний радиус поворота,4.63 м,1,1,Внутренний радиус поворота,,1,1,Вращение,,1,1,Горизонтальный вылет,,1,1,Высота техники,2.56 м (со слож ограждениями 1.71 м),1,1,Высота подъема платформы,"9,98 м",1,1,Объем бака гидравлической жидкости,75 л,1,1,Грузоподъемность,450 кг,1,1,Двигатель,"KUBOTA D1105-W1, 18.5 кВт - 24.8 л.с., Stage 3A",1,1,Длина,"3,17 м",1,1,Дорожный просвет,28 см,1,1,Колесная база,1.84 м,1,1,Преодолеваемый подъем,40%,1,1,Габариты платформы,2.45 х 1.45 м (в удлиненном виде 3.7 х 1.45 м),1,1,Скорость,0.6-5.5 км/ч,1,1,Страна,Франция,1,1,Объем топливного бака,30 л,1,1,Шины,Пенонаполненные 663 х 283 мм,1,1,Ширина,"1,78 м",1,1
Haulotte Compact 14,simple,26,1,visible,1,"Misc, Ножничные, Электрические, Самоходные",Вид подъемника,Ножничный,1,1,Рабочая высота,"13,85 м",1,1,Тип двигателя,Электрический,1,1,Вес,3175 кг,1,1,Аккумуляторы,24В 340 Амп/ч,1,1,Бренд,Haulotte,1,1,Внешний радиус поворота,1.83 м,1,1,Внутренний радиус поворота,,1,1,Вращение,,1,1,Горизонтальный вылет,,1,1,Высота техники,2.72 м (со слож ограждениями 2.02 м),1,1,Высота подъема платформы,"11,85 м",1,1,Объем бака гидравлической жидкости,25 л,1,1,Грузоподъемность,350 кг,1,1,Двигатель,24 V - 340 Ah (C20),1,1,Длина,"2,49 м",1,1,Дорожный просвет,10.8 см,1,1,Колесная база,1.86 м,1,1,Преодолеваемый подъем,25%,1,1,Габариты платформы,2.40 х 1.20 м (в удлиненном виде 3.32 х 1.20 м),1,1,Скорость,0.7-4.2 км/ч,1,1,Страна,Франция,1,1,Объем топливного бака,нет,1,1,Шины,Non marking 15 х 5,1,1,Ширина,"1,2 м",1,1
Haulotte Optimum 8,simple,40,1,visible,1,"Misc, Ножничные, Электрические, Самоходные",Вид подъемника,Ножничный,1,1,Рабочая высота,"7,77 м",1,1,Тип двигателя,Электрический,1,1,Вес,1590 кг,1,1,Аккумуляторы,24В 225 Амп/ч,1,1,Бренд,Haulotte,1,1,Внешний радиус поворота,1.5 м,1,1,Внутренний радиус поворота,,1,1,Вращение,,1,1,Горизонтальный вылет,,1,1,Высота техники,1.99 м,1,1,Высота подъема платформы,"5,77 м",1,1,Объем бака гидравлической жидкости,6 л,1,1,Грузоподъемность,230 кг,1,1,Двигатель,24 V - 232 Ah,1,1,Длина,"1,9 м",1,1,Дорожный просвет,8.7 см,1,1,Колесная база,1.38 м,1,1,Преодолеваемый подъем,25%,1,1,Габариты платформы,1.73 х 0.86 м (в удлиненном виде 2.59 х 0.86 м),1,1,Скорость,0.5-5 км/ч,1,1,Страна,Франция,1,1,Объем топливного бака,нет,1,1,Шины,Non marking 12.5 х 4.13,1,1,Ширина,"0,79 м",1,1
JLG 510 AJ,simple,42,1,visible,1,"Misc, Коленчатые, Дизельные, Самоходные",Вид подъемника,Коленчатый,1,1,Рабочая высота,"17,81 м",1,1,Тип двигателя,Дизельный,1,1,Вес,7650 кг,1,1,Аккумуляторы,,1,1,Бренд,JLG,1,1,Внешний радиус поворота,5 м,1,1,Внутренний радиус поворота,2 м,1,1,Вращение,"360°, непрерывное-нет",1,1,Горизонтальный вылет,9.48 м,1,1,Высота техники,2.3 м,1,1,Высота подъема платформы,"15,81 м",1,1,Объем бака гидравлической жидкости,113.6 л,1,1,Грузоподъемность,230 кг,1,1,Двигатель,Deutz F3M2011 / Deutz D2011L03 / Perkins 404C-22,1,1,Длина,"7,68 м",1,1,Дорожный просвет,0.36 м,1,1,Колесная база,2.34 м,1,1,Преодолеваемый подъем,45%,1,1,Габариты платформы,1.83 х 0.76 м ,1,1,Скорость,7.2 км/ч,1,1,Страна,США,1,1,Объем топливного бака,62.5 л,1,1,Шины,"Пенонаполненные (lug), без следов 12 х 16.5",1,1,Ширина,"2,26 м",1,1
JLG E450AJ,simple,44,1,visible,1,"Misc, Коленчатые, Электрические, Самоходные",Вид подъемника,Коленчатый,1,1,Рабочая высота,"15,72 м",1,1,Тип двигателя,Электрический,1,1,Вес,6670 кг,1,1,Аккумуляторы,8 x 6В 370 А/ч ,1,1,Бренд,JLG,1,1,Внешний радиус поворота,3.15 м,1,1,Внутренний радиус поворота,0.61 м,1,1,Вращение,"360°, непрерывное-нет",1,1,Горизонтальный вылет,7.24 м,1,1,Высота техники,2.01 м,1,1,Высота подъема платформы,"13,72 м",1,1,Объем бака гидравлической жидкости,15 л,1,1,Грузоподъемность,227 кг,1,1,Двигатель,Электрическая система 48 вольт,1,1,Длина,"6,45 м",1,1,Дорожный просвет,20 см,1,1,Колесная база,2.01 м,1,1,Преодолеваемый подъем,30%,1,1,Габариты платформы,1.52 х 0.76 м ,1,1,Скорость,7.2 км/ч,1,1,Страна,США,1,1,Объем топливного бака,нет,1,1,Шины,"240/55-17.5, пенонаполненные/ не оставляющие следов",1,1,Ширина,1.75 м,1,1
LGMG AR14J,simple,46,1,visible,1,"Misc, Коленчатые, Дизельные, Самоходные",Вид подъемника,Коленчатый,1,1,Рабочая высота,"16,09 м",1,1,Тип двигателя,Дизельный,1,1,Вес,7160 кг,1,1,Аккумуляторы,,1,1,Бренд,LGMG,1,1,Внешний радиус поворота,4.41 м,1,1,Внутренний радиус поворота,1.94 м,1,1,Вращение,355°,1,1,Горизонтальный вылет,7.4 м,1,1,Высота техники,2.17 м,1,1,Высота подъема платформы,"14,09 м",1,1,Объем бака гидравлической жидкости,130 л,1,1,Грузоподъемность,230 кг,1,1,Двигатель,"Kubota V2403 36 кВт/48,2 л.с.",1,1,Длина,"6,77 м",1,1,Дорожный просвет,36 см,1,1,Колесная база,2.06 м,1,1,Преодолеваемый подъем,45%,1,1,Габариты платформы,1.83 х 0.76 м ,1,1,Скорость,0.8-6.1 км/ч,1,1,Страна,Китай,1,1,Объем топливного бака,65 л,1,1,Шины,"355/55D-625, пенонаполненные",1,1,Ширина,"2,31 м",1,1
LGMG ES1612,simple,49,1,visible,1,"Misc, Ножничные, Электрические, Самоходные",Вид подъемника,Ножничный,1,1,Рабочая высота,"15,7 м",1,1,Тип двигателя,Электрический,1,1,Вес,880 кг,1,1,Аккумуляторы,"4 х 6 В, 300 А/ч",1,1,Бренд,LGMG,1,1,Внешний радиус поворота,,1,1,Внутренний радиус поворота,,1,1,Вращение,,1,1,Горизонтальный вылет,,1,1,Высота техники,,1,1,Высота подъема платформы,"13,7 м",1,1,Объем бака гидравлической жидкости,,1,1,Грузоподъемность,250 кг,1,1,Двигатель,,1,1,Длина,"2,87 м",1,1,Дорожный просвет,,1,1,Колесная база,,1,1,Преодолеваемый подъем,,1,1,Габариты платформы,,1,1,Скорость,,1,1,Страна,Китай,1,1,Объем топливного бака,,1,1,Шины,,1,1,Ширина,0.81 м,1,1
LGMG SS0407E,simple,52,1,visible,1,"Misc, Ножничные, Электрические, Самоходные",Вид подъемника,Ножничный,1,1,Рабочая высота,"5,6 м",1,1,Тип двигателя,Электрический,1,1,Вес,885 кг,1,1,Аккумуляторы,24V DC 115Ah,1,1,Бренд,LGMG,1,1,Внешний радиус поворота,1.5 м,1,1,Внутренний радиус поворота,0,1,1,Вращение,нет,1,1,Горизонтальный вылет,,1,1,Высота техники,2.06 м (со слож перилами 1.82 м),1,1,Высота подъема платформы,"3,6 м",1,1,Объем бака гидравлической жидкости,4.5 л,1,1,Грузоподъемность,240 кг,1,1,Двигатель,24V DC 115Ah,1,1,Длина,"1,53 м",1,1,Дорожный просвет,5 см,1,1,Колесная база,1.12 м,1,1,Преодолеваемый подъем,25%,1,1,Габариты платформы,"1.30 х 0.70 м, удлинитель 0.60 м",1,1,Скорость,,1,1,Страна,Китай,1,1,Объем топливного бака,нет,1,1,Шины,"230 х 80 мм, цельнолитые/не оставляют следов",1,1,Ширина,"0,76 м",1,1
LGMG A14JE,simple,45,1,visible,1,"Misc, Коленчатые, Электрические, Самоходные",Вид подъемника,Коленчатый,1,1,Рабочая высота,"15,8 м",1,1,Тип двигателя,Электрический,1,1,Вес,7500 кг,1,1,Аккумуляторы,48В 390Ач,1,1,Бренд,LGMG,1,1,Внешний радиус поворота,4.1 м,1,1,Внутренний радиус поворота,1.83 м,1,1,Вращение,355°,1,1,Горизонтальный вылет,7.81 м,1,1,Высота техники,1.98 м (транспортная высота 2.54 м),1,1,Высота подъема платформы,"13,8 м",1,1,Объем бака гидравлической жидкости,30 л,1,1,Грузоподъемность,230 кг,1,1,Двигатель,48В 390Ач,1,1,Длина,"6,66 м",1,1,Дорожный просвет,24 см,1,1,Колесная база,2.03 м,1,1,Преодолеваемый подъем,30%,1,1,Габариты платформы,1.83 х 0.76 м ,1,1,Скорость,1.0-4.8 км/ч,1,1,Страна,Китай,1,1,Объем топливного бака,нет,1,1,Шины,"9-14.5, пенонаполненные/не оставляющие следов",1,1,Ширина,"1,8 м",1,1
LGMG AR16J,simple,47,1,visible,1,"Misc, Коленчатые, Дизельные, Самоходные",Вид подъемника,Коленчатый,1,1,Рабочая высота,"17,7м",1,1,Тип двигателя,Дизельный,1,1,Вес,8180 кг,1,1,Аккумуляторы,,1,1,Бренд,LGMG,1,1,Внешний радиус поворота,4.41 м,1,1,Внутренний радиус поворота,1.94 м,1,1,Вращение,355°,1,1,Горизонтальный вылет,9.39 м,1,1,Высота техники,2.17 м,1,1,Высота подъема платформы,"15,7м",1,1,Объем бака гидравлической жидкости,130 л,1,1,Грузоподъемность,230 кг,1,1,Двигатель,"Kubota V2403 36 кВт/48,2 л.с.",1,1,Длина,"7,56 м",1,1,Дорожный просвет,0.36 м,1,1,Колесная база,2.06 м,1,1,Преодолеваемый подъем,45%,1,1,Габариты платформы,1.83 х 0.76 м ,1,1,Скорость,6.1 км/ч,1,1,Страна,Китай,1,1,Объем топливного бака,65 л,1,1,Шины,"RT foam-filled, 315/55D20",1,1,Ширина,"2,31 м",1,1
LGMG AR20J,simple,48,1,visible,1,"Misc, Коленчатые, Дизельные, Самоходные",Вид подъемника,Коленчатый,1,1,Рабочая высота,"21,58 м",1,1,Тип двигателя,Дизельный,1,1,Вес,9850 кг,1,1,Аккумуляторы,,1,1,Бренд,LGMG,1,1,Внешний радиус поворота,3.9 м,1,1,Внутренний радиус поворота,1.9 м,1,1,Вращение,360°,1,1,Горизонтальный вылет,12.37 м,1,1,Высота техники,2.46 м,1,1,Высота подъема платформы,"19,58 м",1,1,Объем бака гидравлической жидкости,100 л,1,1,Грузоподъемность,260 кг,1,1,Двигатель,"Kubota V2403 26 кВт/48,2 л.с.",1,1,Длина,"9,42 м",1,1,Дорожный просвет,0.40 м,1,1,Колесная база,"2,51 м",1,1,Преодолеваемый подъем,45%,1,1,Габариты платформы,2.44 х 0.90 м,1,1,Скорость,5 км/ч,1,1,Страна,Китай,1,1,Объем топливного бака,нет,1,1,Шины,"RT foam-filled, 355/55D625",1,1,Ширина,"2,5 м",1,1
LGMG SR1023D,simple,50,1,visible,1,"Misc, Ножничные, Дизельные, Самоходные",Вид подъемника,Ножничный,1,1,Рабочая высота,12 м,1,1,Тип двигателя,Дизельный,1,1,Вес,6880 кг,1,1,Аккумуляторы,,1,1,Бренд,LGMG,1,1,Внешний радиус поворота,5.33 м,1,1,Внутренний радиус поворота,нет,1,1,Вращение,нет,1,1,Горизонтальный вылет,нет,1,1,Высота техники,2.74 м (перила сложены 2.06 м),1,1,Высота подъема платформы,10 м,1,1,Объем бака гидравлической жидкости,140 л,1,1,Грузоподъемность,1100 кг,1,1,Двигатель,"Deutz D2,9 L4 36,4кВт/48,8л,с,",1,1,Длина,"4,9 м",1,1,Дорожный просвет,0.23 м,1,1,Колесная база,2.85 м,1,1,Преодолеваемый подъем,40%,1,1,Габариты платформы,3.98/4.81 х 1.83 м,1,1,Скорость,нет,1,1,Страна,Китай,1,1,Объем топливного бака,110 л,1,1,Шины,"Solid, 835 х 290 мм",1,1,Ширина,"2,3 м",1,1
LGMG SR1623D,simple,51,1,visible,1,"Misc, Ножничные, Дизельные, Самоходные",Вид подъемника,Ножничный,1,1,Рабочая высота,"17,9 м",1,1,Тип двигателя,Дизельный,1,1,Вес,8100 кг,1,1,Аккумуляторы,,1,1,Бренд,LGMG,1,1,Внешний радиус поворота,5.33 м,1,1,Внутренний радиус поворота,нет,1,1,Вращение,нет,1,1,Горизонтальный вылет,нет,1,1,Высота техники,3.18 м (перила сложены 2.50 м),1,1,Высота подъема платформы,"15,9 м",1,1,Объем бака гидравлической жидкости,140 л,1,1,Грузоподъемность,680 кг,1,1,Двигатель,"Deutz D2,9 L4 36,4кВт",1,1,Длина,"4,9 м",1,1,Дорожный просвет,0.23 м,1,1,Колесная база,2.85 м,1,1,Преодолеваемый подъем,40%,1,1,Габариты платформы,3.98/4.81 х 1.83 м,1,1,Скорость,нет,1,1,Страна,Китай,1,1,Объем топливного бака,110 л,1,1,Шины,"Solid, 835 х 290 мм",1,1,Ширина,"2,3 м",1,1
"ACMG AC1212LI (ребренд XCMG XG1412AC-LI) ВАЖНО!!!! ВЕРНОЕ НАЗВАНИЕ В СКОБОЧКАХ, НО КАНКУРЕНТЫ ПИШУТ ПОЧЕМУ-ТО ПЕРВОЕ",simple,1,1,visible,1,"Misc, Ножничные, Электрические, Самоходные",Вид подъемника,Ножничный,1,1,Рабочая высота,"13,9 м",1,1,Тип двигателя,Электрический,1,1,Вес,2950 кг,1,1,Аккумуляторы,"Li-ion 25,6 В 230 А·ч",1,1,Бренд,ACMG,1,1,Внешний радиус поворота,2.3 м,1,1,Внутренний радиус поворота,0 м,1,1,Вращение,нет,1,1,Горизонтальный вылет,нет,1,1,Высота техники,2.61 м (перила сложены 2.06 м),1,1,Высота подъема платформы,"11,9 м",1,1,Объем бака гидравлической жидкости,нет,1,1,Грузоподъемность,320 кг,1,1,Двигатель,"Li-ion 25,6 В 230 А·ч",1,1,Длина,"2,4 м",1,1,Дорожный просвет,10 см,1,1,Колесная база,1.87 м,1,1,Преодолеваемый подъем,25%,1,1,Габариты платформы,2.28 х 1.12 м,1,1,Скорость,0.8-4.0 км/ч,1,1,Страна,Китай,1,1,Объем топливного бака,нет,1,1,Шины,"381 х 127 мм, Solid, не оставляющие следов",1,1,Ширина,"1,15 м",1,1
Aurora AS0808 -> LGMG S0808Е-2/AS0808Е ,simple,2,1,visible,1,"Misc, Ножничные, Электрические, Самоходные",Вид подъемника,Ножничный,1,1,Рабочая высота,"10,1 м",1,1,Тип двигателя,Электрический,1,1,Вес,2035 кг,1,1,Аккумуляторы,4×6 V/240 Ah,1,1,Бренд,Aurora,1,1,Внешний радиус поворота,2.2 м,1,1,Внутренний радиус поворота,нет,1,1,Вращение,нет,1,1,Горизонтальный вылет,нет,1,1,Высота техники,2.32 м (перила сложены 1.95 м),1,1,Высота подъема платформы,"8,1 м",1,1,Объем бака гидравлической жидкости,11 л,1,1,Грузоподъемность,230 кг,1,1,Двигатель,24V 130Ah,1,1,Длина,"2,45 м",1,1,Дорожный просвет,10 см,1,1,Колесная база,1.86 м,1,1,Преодолеваемый подъем,25%,1,1,Габариты платформы,2.26 х 0.83 м,1,1,Скорость,нет,1,1,Страна,Китай,1,1,Объем топливного бака,нет,1,1,Шины,цельномонолитные/не оставляюзие следов 380 х 130 мм,1,1,Ширина,"0,82 м",1,1
Aurora AS0812LI -> LGMG AS0812Е (AS2646Е),simple,3,1,visible,1,"Misc, Ножничные, Электрические, Самоходные",Вид подъемника,Ножничный,1,1,Рабочая высота,10 м,1,1,Тип двигателя,Электрический,1,1,Вес,2460 кг,1,1,Аккумуляторы,100-240 V AC,1,1,Бренд,Aurora,1,1,Внешний радиус поворота,2.3 м,1,1,Внутренний радиус поворота,0 м,1,1,Вращение,нет,1,1,Горизонтальный вылет,нет,1,1,Высота техники,2.30 м (перила сложены 1.73 м),1,1,Высота подъема платформы,8 м,1,1,Объем бака гидравлической жидкости,16 л,1,1,Грузоподъемность,450 кг,1,1,Двигатель,24V DC 240Ah li-on,1,1,Длина,2.4 м,1,1,Дорожный просвет,10 см,1,1,Колесная база,1.85 м,1,1,Преодолеваемый подъем,25%,1,1,Габариты платформы,2.26 х 1.12 м,1,1,Скорость,0.8-4.0 км/ч,1,1,Страна,Китай,1,1,Объем топливного бака,нет,1,1,Шины,цельномонолитные/не оставляюзие следов 380 х 130 мм,1,1,Ширина,"1,15 м",1,1
Aurora AS1012 -> LGMG AS1012Е (AS3246Е),simple,4,1,visible,1,"Misc, Ножничные, Электрические, Самоходные",Вид подъемника,Ножничный,1,1,Рабочая высота,12 м,1,1,Тип двигателя,Электрический,1,1,Вес,2820 кг,1,1,Аккумуляторы,4×12 V/150 Ah,1,1,Бренд,Aurora,1,1,Внешний радиус поворота,2.3 м,1,1,Внутренний радиус поворота,0 м,1,1,Вращение,нет,1,1,Горизонтальный вылет,нет,1,1,Высота техники,2.43 м (перила сложены 1.86 м),1,1,Высота подъема платформы,10 м,1,1,Объем бака гидравлической жидкости,23 л,1,1,Грузоподъемность,320 кг,1,1,Двигатель,24V DC 240Ah,1,1,Длина,"2,4 м",1,1,Дорожный просвет,10 см,1,1,Колесная база,1.85 м,1,1,Преодолеваемый подъем,25%,1,1,Габариты платформы,2.26 х 1.12 м,1,1,Скорость,0.8-4.0 км/ч,1,1,Страна,Китай,1,1,Объем топливного бака,нет,1,1,Шины,цельномонолитные/не оставляюзие следов 380 х 130 мм,1,1,Ширина,"1,15 м",1,1
Aurora AS1412 -> LGMG AS1413Е (AS4650Е),simple,5,1,visible,1,"Misc, Ножничные, Электрические, Самоходные",Вид подъемника,Ножничный,1,1,Рабочая высота,"15,8 м",1,1,Тип двигателя,Электрический,1,1,Вес,3600 кг,1,1,Аккумуляторы,4×12 V/150 Ah,1,1,Бренд,Aurora,1,1,Внешний радиус поворота,2.85 м,1,1,Внутренний радиус поворота,0 м,1,1,Вращение,нет,1,1,Горизонтальный вылет,нет,1,1,Высота техники,2.74 м (перила сложены 1.94 м),1,1,Высота подъема платформы,"13,8 м",1,1,Объем бака гидравлической жидкости,24.5 л,1,1,Грузоподъемность,320 кг,1,1,Двигатель,24 V 220Ah,1,1,Длина,"2,72 м",1,1,Дорожный просвет,10.5 см,1,1,Колесная база,2.22 м,1,1,Преодолеваемый подъем,25%,1,1,Габариты платформы,2.64 х 1.12 м,1,1,Скорость,,1,1,Страна,Китай,1,1,Объем топливного бака,нет,1,1,Шины,цельномонолитные/не оставлящие следов 380 х 130 мм,1,1,Ширина,"1,4 м",1,1
Dingli BA18CRT2,simple,6,1,visible,1,"Misc, Коленчатые, Дизельные, Самоходные",Вид подъемника,Коленчатый,1,1,Рабочая высота,"18,11 м",1,1,Тип двигателя,Дизельный,1,1,Вес,8200 кг,1,1,Аккумуляторы,,1,1,Бренд,Dingli,1,1,Внешний радиус поворота,4.73 м,1,1,Внутренний радиус поворота,3 м,1,1,Вращение,"360° непрерывно, люлька 180",1,1,Горизонтальный вылет,9.45 м,1,1,Высота техники,2.59 м,1,1,Высота подъема платформы,"16,11 м",1,1,Объем бака гидравлической жидкости,145 л,1,1,Грузоподъемность,320 кг,1,1,Двигатель,Kubota D1105/18.2 кВт,1,1,Длина,"5,47 м",1,1,Дорожный просвет,0.31 м,1,1,Колесная база,2.40 м,1,1,Преодолеваемый подъем,40%,1,1,Габариты платформы,1.83 х 0.79 м ,1,1,Скорость,1.1-6.0 км/ч,1,1,Страна,Китай,1,1,Объем топливного бака,115 л,1,1,Шины,315/55 D20,1,1,Ширина,"2,44 м",1,1
Dingli BA18NE,simple,7,1,visible,1,"Misc, Коленчатые, Электрические, Самоходные",Вид подъемника,Коленчатый,1,1,Рабочая высота,18 м,1,1,Тип двигателя,Электрический,1,1,Вес,7420 кг,1,1,Аккумуляторы,48В/300Ач,1,1,Бренд,Dingli,1,1,Внешний радиус поворота,3.3 м,1,1,Внутренний радиус поворота,2.08 м,1,1,Вращение,"360°, непрерывное-нет",1,1,Горизонтальный вылет,8.3 м,1,1,Высота техники,2 м,1,1,Высота подъема платформы,16 м,1,1,Объем бака гидравлической жидкости,30 л,1,1,Грузоподъемность,230 кг,1,1,Двигатель,АКБ 48 V/ 300 Ah ,1,1,Длина,"7,21 м",1,1,Дорожный просвет,0.2 м,1,1,Колесная база,2 м,1,1,Преодолеваемый подъем,25%,1,1,Габариты платформы,1.45 х 0.76 м ,1,1,Скорость,6.1 км/ч,1,1,Страна,Китай,1,1,Объем топливного бака,нет,1,1,Шины,17.5 х 6.75 пенонаполненные,1,1,Ширина,"1,73 м",1,1
Dingli BA20CRT2,simple,8,1,visible,1,"Misc, Коленчатые, Дизельные, Самоходные",Вид подъемника,Коленчатый,1,1,Рабочая высота,"20,15 м",1,1,Тип двигателя,Дизельный,1,1,Вес,8450 кг,1,1,Аккумуляторы,,1,1,Бренд,Dingli,1,1,Внешний радиус поворота,4. 73 м,1,1,Внутренний радиус поворота,3 м,1,1,Вращение,"360°, непрерывно",1,1,Горизонтальный вылет,11.13 м,1,1,Высота техники,2.59 м,1,1,Высота подъема платформы,"18,15 м",1,1,Объем бака гидравлической жидкости,145 л,1,1,Грузоподъемность,320 кг,1,1,Двигатель,Kubota18.2кВт или Perkins 18.4кВт,1,1,Длина,"6,41 м",1,1,Дорожный просвет,0.31 м,1,1,Колесная база,2.40 м,1,1,Преодолеваемый подъем,40%,1,1,Габариты платформы,1.83 х 0.79 м ,1,1,Скорость,6 км/ч,1,1,Страна,Китай,1,1,Объем топливного бака,115 л,1,1,Шины,315/55 D20,1,1,Ширина,"2,44 м",1,1
Dingli BA22ERT,simple,9,1,visible,1,"Misc, Коленчатые, Электрические, Самоходные",Вид подъемника,Коленчатый,1,1,Рабочая высота,"22,21 м",1,1,Тип двигателя,Электрический,1,1,Вес,10150 кг,1,1,Аккумуляторы,24x2В/375Ач,1,1,Бренд,Dingli,1,1,Внешний радиус поворота,3.92 м,1,1,Внутренний радиус поворота,2.15 м,1,1,Вращение,"360°, непрерывно",1,1,Горизонтальный вылет,13.62 м,1,1,Высота техники,2.43 м,1,1,Высота подъема платформы,"20,21 м",1,1,Объем бака гидравлической жидкости,145 л,1,1,Грузоподъемность,230 кг,1,1,Двигатель,48V 3.8 kw,1,1,Длина,"9,55 м",1,1,Дорожный просвет,0.31 м,1,1,Колесная база,2.40 м,1,1,Преодолеваемый подъем,45%,1,1,Габариты платформы,1.83 х 0.79 м ,1,1,Скорость,6 км/ч,1,1,Страна,Китай,1,1,Объем топливного бака,нет,1,1,Шины,315/55 D21,1,1,Ширина,"2,44 м",1,1
Dingli BA28RT,simple,10,1,visible,1,"Misc, Коленчатые, Дизельные, Самоходные",Вид подъемника,Коленчатый,1,1,Рабочая высота,"28,1 м",1,1,Тип двигателя,Дизельный,1,1,Вес,18400 кг,1,1,Аккумуляторы,,1,1,Бренд,Dingli,1,1,Внешний радиус поворота,3.22 м,1,1,Внутренний радиус поворота,1.87 м,1,1,Вращение,"360°, непрерывно",1,1,Горизонтальный вылет,19.4 м,1,1,Высота техники,2.89 м,1,1,Высота подъема платформы,"26,1 м",1,1,Объем бака гидравлической жидкости,165 л,1,1,Грузоподъемность,250 кг,1,1,Двигатель,"Deutz TD2.9 L4 / 55,4 кВт",1,1,Длина,12 м,1,1,Дорожный просвет,0.41 м,1,1,Колесная база,2.8 м,1,1,Преодолеваемый подъем,45%,1,1,Габариты платформы,2.44 х 0.91 м,1,1,Скорость, 6 км/ч,1,1,Страна,Китай,1,1,Объем топливного бака,135 л,1,1,Шины,385/45-28,1,1,Ширина,"2,5 м",1,1
Dingli BT26RT,simple,11,1,visible,1,"Misc, Телескопические, Дизельные, Самоходные",Вид подъемника,Телескопический,1,1,Рабочая высота,"26,3 м",1,1,Тип двигателя,Дизельный,1,1,Вес,16090 кг,1,1,Аккумуляторы,,1,1,Бренд,Dingli,1,1,Внешний радиус поворота,3.22 м,1,1,Внутренний радиус поворота,1.87 м,1,1,Вращение,"360°, непрерывно",1,1,Горизонтальный вылет,19.5 м,1,1,Высота техники,2.87 м,1,1,Высота подъема платформы,"24,3 м",1,1,Объем бака гидравлической жидкости,165 л,1,1,Грузоподъемность,450 кг,1,1,Двигатель,"Deutz D2.9 L4/55,4 кВт",1,1,Длина,"10,82 м",1,1,Дорожный просвет,0.41 м,1,1,Колесная база,2.8 м,1,1,Преодолеваемый подъем,45%,1,1,Габариты платформы,2.44 х 0.91 м,1,1,Скорость, 6 км/ч,1,1,Страна,Китай,1,1,Объем топливного бака,135 л,1,1,Шины,385/45-28,1,1,Ширина,"2,5 м",1,1
